Dataset,NDCG@10,MAP@10,Recall@10,P@10
scifact,0.6437,0.6009,0.762,0.0843
arguana,0.485,0.3996,0.7568,0.0757
nfcorpus,0.2977,0.1086,0.1398,0.2161
fiqa,0.2173,0.1597,0.2796,0.0619
trec-covid,0.5625,0.0119,0.0149,0.592
